id,geometry_type,coordonnees,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_fs,etab_adr,ouverture_jour,annee,etablissement_type,secteur,ministere_tutelle,services_proposes
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3c7,Point,"[1.18094881,6.22550796]",Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe-nyive,CMS des Etoiles,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1994,USP 2,ONG,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d urgence,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3c8,Point,"[1.20626223,6.25496561]",Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Agoe-nyve,CMS Direct-Aids,13 BP 134,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2021,USP 2,ONG,MSHPAUS,"{Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de vaccination de l enfant,Traitement antiretroviral (VIH-SIDA),Stockage medicaments vaccins produits contraceptifs,autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3c9,Point,"[1.19767482,6.22085057]",Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe _nyive,CMS Djadja Avonyo,BP 4195,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",1996,USP 2,Privé,MSHPAUS,"{Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d urgence,Service de reeducation fonctionnelle,Service de transfusion sanguine,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de laboratoire,Services de CPC,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3ca,Point,"[0.56201496,8.77814417]",Centrale,Mô,Mô 1,Djarkpanga,Mo,CMS Djarkpanga,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",1986,Hopital 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Service d urgence,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3cb,Point,"[0.01026125,11.10138918]",Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkansse/cinkansse,CMS Eds Wende Panga,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Nsp,USP 1,Privé,Nsp,"{Diagnostic ou demande d examen de crachats,Diagnostic ou traitement du paludisme,Services de soins curatifs de l enfant}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3cc,Point,"[1.11597135,6.18400272]",Maritime,Golfe,Golfe 7,Aflao-Sagbado,Golfe 7,CMS Edzodzinam,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2020,USP 1,Privé,MSHPAUS,"{Chirurgie generale,Diagnostic ou traitement du paludisme,Diagnostic-prise en charge integree maladies non transmissibles,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de laboratoire,Services de soins curatifs de l enfant,Services de sante destines aux adolescents}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3cd,Point,"[1.19259787,6.18619571]",Maritime,Golfe,Golfe 5,Aflao-Gakli,Golfe,CMS Djidjole,Nsp,"{Lundi,Mercredi,Mardi,Jeudi,Vendredi,Samedi,Dimanche}",2009,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3ce,Point,"[1.10056541,6.19904373]",Maritime,Golfe,Golfe 7,Aflao-Sagbado,Golfe,CMS Djifa,BP 1515,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2005,USP 1,Privé,MSHPAUS,"{Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de soins curatifs de l enfant}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3cf,Point,"[0.88888367,6.37205567]",Maritime,Avé,Avé 1,Zolo,Ave,CMS Djolo,BP SC 50,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1998,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d0,Point,"[0.79024361,7.73256099]",Plateaux,Akébou,Akébou 1,Djon,Akebou,CMS Djon- kotora,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,USP 2,Public,MSHPAUS,"{Chirurgie generale,Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}"
