FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_fs,etab_adr,ouverture_jour,annee,etablissement_type,secteur,ministere_tutelle,services_proposes,geometry
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5855,Kara,Bassar,Bassar 3,Manga,Bassar,USP Manga,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",1986,USP 1,Public,MSHPAUS,"{autre,Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (0.6978676766411079 9.56472347377446)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5856,Savanes,Oti,Oti 1,Mango,Oti,USP Mantche,S/c BP 11,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2008,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,autre}",POINT (0.3399678996306951 10.343118332801637)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5857,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Bas mono,USP Masseda,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Nsp,USP 1,Public,MSHPAUS,"{autre,Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.673843056917549 6.446592717046716)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5858,Kara,Doufelgou,Doufelgou 1,Massédéna,Doufelgou /massedena,USP Massedena,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1998,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,autre,Traitement antiretroviral (VIH-SIDA)}",POINT (1.281094556191466 9.949562693767849)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5859,Maritime,Vo,Vo 1,Vogan,Vo,USP Massekope,S/C BP 97,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2003,USP 1,Public,MSHPAUS,"{autre,Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant}",POINT (1.5430719536411779 6.368289779761172)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_585a,Savanes,Oti-Sud,Oti-Sud 1,Mogou,Oti sud,USP Mogou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1952,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Service d urgence,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (0.640527059790068 10.383895254970334)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_585b,Maritime,Zio,Zio 2,Mission-Tové,Zio/mission tove,USP Mission Tove,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1945,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Service d imagerie medicale,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (1.1179306506689775 6.322758317012738)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_585c,Kara,Binah,Binah 2,Sirka,Sirka,USP N'Djei,BP 74 SC/CHP Pagouda,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2008,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.3518654160783634 9.509599760613924)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_585d,Centrale,Blitta,Blitta 3,Tintchro,Blitta,USP N'Kengbe,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2000,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (0.7685209310617132 8.129930917538264)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_585e,Centrale,Tchamba,Tchamba 1,Tchamba,Tchamba,USP N'Tchourou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2015,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,autre}",POINT (1.5876106848072098 9.00918255707408)
