FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_fs,etab_adr,ouverture_jour,annee,etablissement_type,secteur,ministere_tutelle,services_proposes,geometry
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55e7,Maritime,Vo,Vo 3,Dzrékpo,Dzrékpo,USP Dzrekpo,N/a,N/a,N/a,USP 1,Public,N/a,N/a,POINT (1.5693608209053378 6.471152959951261)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55e8,Kara,Kéran,Kéran 3,Nadoba,Pimini,USP Pimini,Nsp,Nsp,Nsp,USP 1,Public,Nsp,{Traitement},POINT (1.0580971405217465 10.110191448382826)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55e9,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Agoe nyive 5,CMS Sanguera,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1945,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Traitement antiretroviral (VIH-SIDA)}",POINT (1.1133503004084486 6.229676858665188)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ea,Maritime,Golfe,Golfe 6,Baguida,Golfe6/baguida,USP Devego,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2008,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (1.3435256114882244 6.19473540809048)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55eb,Maritime,Lacs,Lacs 1,Aného,Lacs,Polyclinique Mere-Enfant d'Aneho,BP 121,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2007,Hopital 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.5948030280562 6.229670357709534)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ec,Maritime,Lacs,Lacs 1,Aného,Lacs,USP Aziagbacondji,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2012,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Traitement antiretroviral (VIH-SIDA)}",POINT (1.57244429356062 6.2238902941695)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ed,Maritime,Lacs,Lacs 1,Glidji,Lacs/aneho,Hopital Psychiatrique de Zebe Aneho,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1904,Hopital 2,Public,MSHPAUS,"{autre,Diagnostic ou traitement du paludisme}",POINT (1.6158149566946611 6.249565045773492)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ee,Maritime,Lacs,Lacs 1,Glidji,Lacs,USP Glidji,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",1968,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.6008280131236559 6.249469602673935)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ef,Maritime,Lacs,Lacs 1,Glidji,Lacs,USP Zalive Assoukope,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.5906894870711106 6.254964927662064)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f0,Maritime,Lacs,Lacs 1,Glidji,Lacs,USP Zowla,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",1952,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.573161076768653 6.286438147762508)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f1,Maritime,Lacs,Lacs 1,Canton D’Aneho,Lacs/aneho,Centre Hospitalier Prefectoral d'Adjido Aneho,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1950,Hopital 2,Public,MSHPAUS,"{Chirurgie generale,Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Service d imagerie medicale,Service d urgence,Service de reeducation fonctionnelle,Service de transfusion sanguine,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.6090983333333337 6.2368)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f2,Maritime,Lacs,Lacs 2,Agouégan,Lacs/agouegan,USP Djeta,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1970,USP 1,Public,MSHPAUS,"{Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Traitement antiretroviral (VIH-SIDA),autre}",POINT (1.7341643693762008 6.269234041504089)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f3,Maritime,Lacs,Lacs 2,Aklakou,Lacs,CMS Aklakou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1978,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.7104908604585265 6.337414386184574)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f4,Maritime,Lacs,Lacs 2,Aklakou,Aklakou,USP Adame,Nsp,"{Lundi,Mercredi,Vendredi}",Nsp,USP 1,Public,Nsp,"{Diagnostic ou traitement du paludisme,Services de planification familiale,Services de vaccination de l enfant}",POINT (1.7823057900279446 6.336464933482524)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f5,Maritime,Lacs,Lacs 2,Aklakou,Lacs,USP Agbannakin,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs}",POINT (1.8024266662225021 6.290553517486916)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f6,Maritime,Lacs,Lacs 2,Aklakou,Lac,USP Hlande,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,USP 1,Public/Communautaire,MSHPAUS,"{Chirurgie generale,Services de conseil et de depistage du VIH,Services de CPC,Services de consultations prenatales,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Service d hygiene et d assainissement}",POINT (1.7331620759605928 6.315454687656922)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f7,Maritime,Lacs,Lacs 2,Agouégan,Lacs/agouegan,USP Agouegan,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1966,USP 1,Public,MSHPAUS,"{Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (1.680885 6.262121666666667)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f8,Maritime,Lacs,Lacs 2,Agouégan,Lacs,USP Seko,Nsp,"{Dimanche,Samedi,Jeudi,Vendredi,Mercredi,Mardi,Lundi}",1997,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.7103766247196497 6.263376709057989)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55f9,Maritime,Lacs,Lacs 3,Agbodrafo,Lacs 3/ agbodrafo,CMS Infirmerie Kpeme,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Nsp,USP 2,Para Public,MSHPAUS,"{Chirurgie generale,Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Services d accouchement,Service de transfusion sanguine,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Service d imagerie medicale,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de laboratoire,Services de planification familiale,Services de CPC,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.5113833333333337 6.211008333333332)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55fa,Maritime,Lacs,Lacs 3,Agbodrafo,Lacs,USP Djasseme,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2017,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Soins obstetricaux neonatals d urgence de base}",POINT (1.4926094798511278 6.222330422417671)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55fb,Maritime,Lacs,Lacs 3,Agbodrafo,Lacs/agbodrafo,CMS Agbodrafo,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1947,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (1.480946666666667 6.211721666666666)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55fc,Maritime,Lacs,Lacs 3,Gbodjomé,Lacs/agbavi,CMS Gbodjome,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1967,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (1.4184725875610846 6.19821127103905)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55fd,Maritime,Lacs,Lacs 3,Agbodrafo,Lacs/agbodrafo,USP Goumoukope,Nsp,"{Samedi,Dimanche,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",1969,USP 1,Public,MSHPAUS,"{Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Traitement antiretroviral (VIH-SIDA),autre}",POINT (1.5320784505889398 6.217481198402571)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55fe,Maritime,Lacs,Lacs 3,Agbodrafo,Lacs 3,USP Kpeme,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2014,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.5047769058941993 6.212033183075968)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_55ff,Maritime,Lacs,Lacs 3,Gbodjomé,Lacs,USP Togokome,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2012,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.4217649999999997 6.213094999999998)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5600,Maritime,Lacs,Lacs 4,Ganavé,Lacs/zowla,CMA Zowla,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2018,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic ou traitement du paludisme,Services de laboratoire,autre}",POINT (1.5998019109667712 6.295233865581512)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5601,Maritime,Lacs,Lacs 4,Anfoin,Lacs/anfoin,CMS Anfoin,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1962,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (1.6130521503632507 6.326618787494385)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5602,Maritime,Lacs,Lacs 4,Fiata,Lacs/aklakou,USP Atoueta,Nsp,"{Lundi,Mercredi,Mardi,Jeudi,Vendredi,Samedi,Dimanche}",1991,USP 1,Public,MSHPAUS,"{Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.6682694831771618 6.304115231231807)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5603,Maritime,Lacs,Lacs 4,Fiata,Lacs,USP Attisso-Kondji,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1986,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Traitement antiretroviral (VIH-SIDA)}",POINT (1.6658482883551509 6.3267561604144555)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5604,Maritime,Lacs,Lacs 4,Fiata,Lacs/ganave,USP Ganave,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,USP 1,Public,MSHPAUS,"{Diagnostic ou traitement du paludisme,Services d accouchement,Services de consultations prenatales,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de CPC,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs}",POINT (1.6348718431469944 6.3088307060828654)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5605,Maritime,Lacs,Lacs 4,Ganavé,Lacs/anfoin,USP Melly Dzigbe,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,USP 1,Public,MSHPAUS,"{Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Soins obstetricaux et neonatals d urgence complets}",POINT (1.6438866666666672 6.335486666666665)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5606,Centrale,Sotouboua,Sotouboua 2,Kériadé,Sotouboua,USP Melamboua,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1994,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Traitement ou suivi therapeutique de la tuberculose,Gyneco-obstetrique,Service de reeducation fonctionnelle,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (0.9443066987932328 8.682706367658563)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5607,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Tchaoudjo1,CHR Sokode,BP187 Sokode,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1920,CHR,Public,MSHPAUS,"{Chirurgie generale,Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Service d imagerie medicale,Service d urgence,Service de reeducation fonctionnelle,Service de transfusion sanguine,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (1.135737141603038 8.984608021697255)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5608,Maritime,Zio,Zio 1,Davié,Zio,Atbef Centre des Jeunes de Davie,BP 4056 Lome 01,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",2021,USP 1,Para Public,MSHPAUS,"{Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d urgence,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Stockage medicaments vaccins produits contraceptifs}",POINT (1.2094696303432726 6.386872399220312)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5609,Kara,Doufelgou,Doufelgou 3,Kadjalla,Doufelgou / kadjala,Cabinet de Soins de Agbassa,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2016,USP 1,Public,MSHPAUS,"{Diagnostic ou traitement du paludisme,Services d accouchement,Services de consultations prenatales,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,autre}",POINT (0.8947332646517389 9.780364355516443)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_560a,Kara,Kozah,Kozah 1,Commune De Kara,Kozah,Centre d'Ecoute et de Sante de la Maison de Jeunes Kara,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",2017,USP 1,Public,MDBJEJ,"{Diagnostic ou traitement du paludisme,autre,Services de planification familiale}",POINT (1.1807737762545667 9.548802964740807)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_560b,Maritime,Golfe,Golfe 3,Bè-Ouest,Golfe,Centre de Dermatologie de Lome,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,USP 1,Public,MSHPAUS,"{Traitement ou suivi therapeutique de la tuberculose,Services de conseil et de depistage du VIH,autre}",POINT (1.205877227041875 6.1560604273442125)
